College Code,College Name,District,Branch Code,Branch Name,OC,MBC
2749,"EASA College of Engineering and Technology, NH-47, Coimbatore-Palakkad Main Road, Navakarai Post, Coimbatore District 641105",Coimbatore,EC,Electronics and Communication Engineering,109857,
2750,"KIT-Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam,Coimbatore District 641402",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2750,"KIT-Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam,Coimbatore District 641402",Coimbatore,CB,Computer Science and Business System,999999999999,999999999999
2751,"KGISL Institute of Technology, KGISL Campus, Thudiyalur Road, Saravanampatti,Coimbatore District 641035",Coimbatore,CB,Computer Science and Business System,999999999999,999999999999
2755,"Nehru Institute of Technology, Thirumalayampalayam Post, Coimbatore District 641105",Coimbatore,CS,Computer Science and Engineering,91416,110933
2758,"J K K Muniraja College of Technology, T N Palayam, Gobi Taluk, Erode District 638506",Erode,IT,Information Technology,107634,109864
2768,"Park College of Technology, Prema Ravi Nagar, Karumathampatty, Coimbatore District641059",Coimbatore,CS,Computer Science and Engineering,999999999999,999999999999
2768,"Park College of Technology, Prema Ravi Nagar, Karumathampatty, Coimbatore District641059",Coimbatore,EC,Electronics and Communication Engineering,999999999999,999999999999
2769,"J C T College of Engineering and Technology, Pichanur, Coimbatore District 641105",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2770,"Study World College of Engineering, Coimbatore, Coimbatore District 641105",Coimbatore,EC,Electronics and Communication Engineering,999999999999,999999999999
3456,"K S K College of Engineering and Technology, Thanjavur Main Road, Darasuram, Kumbakonam, Thanjavur District 612702",Thanjavur,EC,Electronics and Communication Engineering,110462,
3466,"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhupalayam, Ariyalur Taluk, Ariyalur District 621704",Ariyalur,CS,Computer Science and Engineering,109836,
3760,"Sir Issac Newton College of Engineering and Technology, Anthanapeetai Post, Papakoil, Nagappattinam District 611102",Nagappattinam,EC,Electronics and Communication Engineering,77819,109648
3760,"Sir Issac Newton College of Engineering and Technology, Anthanapeetai Post,Papakoil, Nagappattinam District 611102",Nagappattinam,AD,Artificial Intelligence and Data Science,999999999999,999999999999
