College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,IT,INFORMATION TECHNOLOGY,185.78,175,13219,27544
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,137,103,84180,132966
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,155,138.5,57046,82319
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,136,100.5,85588,135738
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chennai,IT,INFORMATION TECHNOLOGY,144.5,131.5,73173,92900
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,149,131,66237,93746
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,124,112,103907,121688
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",Villupuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,104,82,131965,154006
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185.89,168.5,13196,36931
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,184.46,173.025,15051,30103
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,CY,Cyber Security,179,169.89,21927,35120
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,174.89,159,27786,51461
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,163,152,45437,62005
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Chennai,IT,INFORMATION TECHNOLOGY,181,168.57,19110,36717
1423,"Asan Memorial College of Engineering and Technology,Chengalpattu-603 001.",Chengalpattu-603,CS,COMPUTER SCIENCE AND ENGINEERING,92.5,,144754,
1423,"Asan Memorial College of Engineering and Technology,Chengalpattu-603 001.",Chengalpattu-603,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,150.5,,63608,
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,135.5,80,86313,155542
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,123.5,,104819,
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,138.5,96.5,82135,140646
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,130,85.5,94956,151259
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,82,,154239,
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Chennai,RM,ROBOTICS AND AUTOMATION,108.5,102,125986,134036
